"hora_id_ref","id_linha","sentido_linha","let_cod_linha","let_destino","let_origem","meta_qtde_onibus"
"00",33326,2,"178A-10","LAPA","METRÔ SANTANA",1
"00",33234,2,"978L-10","TERM. PRINC. ISABEL","TERM. CACHOEIRINHA",2
"00",33123,2,"6200-10","TERM. BANDEIRA","TERM. STO. AMARO",6
"00",111,1,"675X-10","AACD-SERVIDOR","TERM. GRAJAÚ",2
"00",33108,2,"4727-10","METRÔ PÇA. DA ÁRVORE","JD. CLÍMAX",1
"00",2064,1,"8707-10","TERM. PRINC. ISABEL","RIO PEQUENO",1
"00",34061,2,"6338-10","PQ. IBIRAPUERA","JD. MIRIAM",1
"00",35265,2,"1020-10","CONEXÃO VL. IÓRIO ","PERUS",1
"00",34273,2,"6970-10","TERM. STO. AMARO","TERM. GRAJAÚ",1
"00",376,1,"2626-10","TERM. PQ. D. PEDRO II","JD. NAZARÉ",2
"00",2409,1,"N704-11","TERM. STO. AMARO","TERM. CAPELINHA",1
"00",33581,2,"938V-10","METRÔ BARRA FUNDA","JD. VISTA ALEGRE",3
"00",1044,1,"3745-10","METRÔ TATUAPÉ","JD. IMPERADOR",1
"00",78,1,"5630-10","METRÔ BRÁS","TERM. GRAJAÚ",2
"00",32879,2,"675X-10","AACD-SERVIDOR","TERM. GRAJAÚ",1
"00",35256,2,"775F-31","PQ. DO POVO","JD. DAS PALMAS",1
"00",32798,2,"6804-10","TERM. JOÃO DIAS","JD. INGÁ",1
"00",1346,1,"8016-10","TERM. PIRITUBA","JD. RINCÃO",1
"00",1002,1,"342C-10","PENHA","JD. MARÍLIA",1
"00",1646,1,"5103-10","MOEMA","TERM. SACOMÃ",2
"00",2324,1,"N235-11","PEDRA BRANCA","METRÔ SANTANA",1
"00",14,1,"6825-10","TERM. CAPELINHA","VALO VELHO",1
"00",602,1,"574A-10","LGO. CAMBUCI","AMERICANÓPOLIS",1
"00",34968,2,"407P-10","METRÔ TATUAPÉ","TERM. CID. TIRADENTES",2
"00",353,1,"5154-10","TERM. PRINC. ISABEL","TERM. STO. AMARO",1
"00",35171,2,"N638-11","UNISA","TERM. GRAJAÚ",1
"00",1638,1,"575A-10","SHOP. METRÔ TATUAPÉ","DIV. SÃO CAETANO",1
"00",1706,1,"6016-41","TERM. GRAJAÚ","JD. PORTO VELHO",2
"00",35134,2,"N433-11","METRÔ BELÉM","TERM. VL. CARRÃO",1
"00",35141,2,"N440-11","SAVOY/DALILA","TERM. VL. CARRÃO",1
"00",125,1,"3160-10","TERM. PQ. D. PEDRO II","TERM. VL. PRUDENTE",1
"00",412,1,"8050-10","LAPA","PQ. MORRO DOCE",1
"00",34407,2,"574C-10","DIV. DE SÃO CAETANO","SÃO MATEUS",1
"00",2373,1,"N440-11","SAVOY/DALILA","TERM. VL. CARRÃO",1
"00",851,1,"1709-10","METRÔ TUCURUVI","JD. JOANA D'ARC",17
"00",34767,2,"7005-51","METRÔ CAPÃO REDONDO ","JD. VERA CRUZ",2
"00",35308,2,"8029-10","TERM. MORUMBI","SHOP. PORTAL",1
"00",2005,1,"6L10-41","TERM. VARGINHA","MESSIÂNICA",1
"00",2179,1,"4005-10","BARRO BRANCO","TERM. CID. TIRADENTES",1
"00",34210,2,"5370-10","LGO. SÃO FRANCISCO","TERM. VARGINHA",4
